status	document_id	bytes	sha256	relative_path	title	category	url
existing	18687	99206	c6f68aea41211d71ced24b5e15487d09cdad0d860b39d29c20cbcae707e721ff	documents/18687-mediaresponsetomay9thevent.pdf	MediaResponseToMay9thEvent		https://drstevengreer.com/wp-content/uploads/2022/06/MediaResponseToMay9thEvent.pdf
existing	18689	70350	9e1bc603e13d4dc2cca4c94416f0fc03b0b645ee2b0e7074dbaa6e9728823529	documents/18689-meditation-references.pdf	Meditation References		https://drstevengreer.com/wp-content/uploads/2022/06/Meditation-References.pdf
existing	28272	620181	d1c6ffd21488d396e3c7d2447727b2bb0037a2bfc61cf0f62108f94b20cc0bc1	documents/28272-memorandum-to-president-trump.pdf	Memorandum to President Trump	Presidential Briefings	https://drstevengreer.com/wp-content/uploads/2025/03/Memorandum-2-9-25.pdf
existing	18691	1489133	3ec23f0aca781b9e0d072990265048e3b88d6e2fddc08d80cb4b8440a23876bf	documents/18691-mixed-bag-ad-final.pdf	mixed bag ad final		https://drstevengreer.com/wp-content/uploads/2022/06/mixed-bag-ad-final.pdf
existing	17403	2047693	28cb2434e3633f9b16387dd92f7fb4b15eb4c7b0337c80e9b882e7df2d2d9256	documents/17403-national-reconnaissance-office-nro-document.pdf	National Reconnaissance Office (NRO) Document	Disclosure Documents	https://drstevengreer.com/wp-content/uploads/2022/05/NRO-Doc.pdf
existing	25802	468907	18eed0cbca89ab7617493763c13e3615064a0644453d4e4e7691c5a26040bc7a	documents/25802-national-security-implications-of-the-ufo-eti-subject.pdf	National Security Implications of the UFO/ETI Subject	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/National-Security-Implications.pdf
existing	18695	360385	8100789092b0d4de94183f618c3e10cec84787be2db18965db9beeb48a029a2b	documents/18695-naval-intelligence-report.pdf	naval intelligence report		https://drstevengreer.com/wp-content/uploads/2022/06/naval-intelligence-report.pdf
existing	18669	514066	c4731ac339ac62c4cde6748fb231cb9b95214e8977f08944dc309e837154b28f	documents/18669-norad-log.pdf	NORAD Log	Malmstrom Air Force Base Incident – March 16, 1967	https://drstevengreer.com/wp-content/uploads/2022/06/Maelstrom-NORAD-Log.pdf
existing	18697	325183	f4f5cef9934044686d60490e97a2b4f2750efac08267c7d82970a39baea22851	documents/18697-nov-2014-ecard-the-science-of-consciousness-and-et-contact.pdf	Nov_2014_Ecard_the science of consciousness and et contact		https://drstevengreer.com/wp-content/uploads/2022/06/Nov_2014_Ecard_the-science-of-consciousness-and-et-contact.pdf
existing	18699	20495	941ffe20204569d87b733d7f57f0ad67614b7cd7232cd71e042f32410bb1da3b	documents/18699-november-17-1990-document.docx	November 17 1990 document		https://drstevengreer.com/wp-content/uploads/2022/06/November-17-1990-document.docx
existing	18701	2047693	28cb2434e3633f9b16387dd92f7fb4b15eb4c7b0337c80e9b882e7df2d2d9256	documents/18701-nro-doc.pdf	NRO Doc		https://drstevengreer.com/wp-content/uploads/2022/06/NRO-Doc.pdf
existing	18703	95659	c509b4aba9f144067277b4b91a10fe4401d7ae0500af931bdd68283f2f732a91	documents/18703-obama-briefing-introduction.pdf	obama briefing introduction	Presidential Briefings	https://drstevengreer.com/wp-content/uploads/2022/06/obama-briefing-introduction.pdf
existing	25804	440000	7402d36ca12b3adb3700ed1aa41dbf23cf7948040627b65be1a0c5787d0459e0	documents/25804-one-universe-one-people.pdf	One Universe – One People	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/One-Universe-One-People.pdf
existing	17397	20886	2844b887635a301db9c30bbcdb6df811c1b469393b6a0ca11eae3c217277d8c7	documents/17397-open-letter-to-pi-40-1996.pdf	Open Letter to PI-40 (1996)	Letters and Briefings	https://drstevengreer.com/wp-content/uploads/2022/05/PI40.pdf
existing	17385	1443394	b7233bad5806b32a0fcb5cf1f8caaf8b36286e08b6ee4653ad5a514d044efa59	documents/17385-orion-project-memorandum-summary-of-new-energy-technology-2009.pdf	Orion Project Memorandum — Summary of New Energy Technology (2009)	Letters and Briefings	https://drstevengreer.com/wp-content/uploads/2022/05/Energy1-1.pdf
existing	18747	181851	2a450f9a1e72e5c1fde67194c96aef7d011d4b9f52b340f06393e9bd80fcebbb	documents/18747-outside-the-box-theodore-loder.pdf	Outside the Box — Theodore Loder	Related Papers	https://drstevengreer.com/wp-content/uploads/2022/06/STAIF03Loder.pdf
existing	18707	969683	6adf810206df350f09a5685aff247626bafee5e41e29dfacf3bdd10f07d9942c	documents/18707-panama-sighting-docs.pdf	Panama Sighting Docs		https://drstevengreer.com/wp-content/uploads/2022/06/Panama-Sighting-Docs.pdf
existing	18709	31541	bf61c33b2ebbce0213efa0976e28a6ce52e817c750ee0078a341e48188d72edb	documents/18709-peer-review-1.docx	Peer Review 1		https://drstevengreer.com/wp-content/uploads/2022/06/Peer-Review-1.docx
existing	18711	16898	5c5829f043faa8369187e78985fc4432b9dcadc5705991bd01e971aa53bb6c65	documents/18711-peer-reviewer-2.docx	Peer Reviewer 2		https://drstevengreer.com/wp-content/uploads/2022/06/Peer-Reviewer-2.docx
existing	18713	412438	8b2158c2099d229a3edf6c3df507ae95fbe3c3747ff84a929d481509e528198e	documents/18713-petaluma-slides.pdf	Petaluma Slides		https://drstevengreer.com/wp-content/uploads/2022/06/Petaluma-Slides.pdf
existing	18715	20886	2844b887635a301db9c30bbcdb6df811c1b469393b6a0ca11eae3c217277d8c7	documents/18715-pi40.pdf	PI40		https://drstevengreer.com/wp-content/uploads/2022/06/PI40.pdf
existing	18717	273950	2cc695108c2e982ea8deed8f3183022b0370a47a363253f08811202c1ce6c609	documents/18717-pilot-graham-bethune-witness-report.pdf	Pilot Graham Bethune Witness Report	Sighting of UFO Off The Newfoundland Coast – February 10, 1951	https://drstevengreer.com/wp-content/uploads/2022/06/Pilot-Graham-Bethune-Statement.pdf
